"公司名称","职位名称","职位分类","职位类别","工作地区","岗位职责","任职资格","专业","学历","工作经验","语言要求","语言等级","月薪","邮编","最近更新日期"
"10900000-0000-0000-0000-000000081045","钳工/机修工/钣金工","钳工/机修工/钣金工","正式","高新区","1、能进行售后服务、解决机械装配遇到的问题、设备定位等技术问题； 
2、按质、按量、按时地完成产品装配工作； 
3，有责任心和主动意识，勤奋努力","1、能进行售后服务、解决机械装配遇到的问题、设备定位等技术问题； 
2、按质、按量、按时地完成产品装配工作； 
3，有责任心和主动意识，勤奋努力。 
任职要求： 1、高中以上学历；持有效焊工证、电工证等。 
2、熟悉机械装配原理；有化工设备安装定位，管道安装等经验优先。 
3、熟悉工艺原理，并严格按照工艺规定的质量要求操作； 
4、有粉体自动化设备或化工容器行业自动化设备安装经验者优先。 
5、有强烈安全意识，做事认真细致。","机械类","高中","两年以上","其他","良好","5000","214000","18/11/2017 10:58:52.387"
"10900000-0000-0000-0000-000000007005","Covering Operator 包胶工","其他[技工类]","正式","高新区","1. 熟悉正确使用橡胶包覆涉及的所有设备及辅助工具，做到使用前先检查设备是否完好。
2. 根据工艺及加工图纸要求，保质保量完成生产任务。
3. 负责生产原材料的管理。
4. 负责完成上级领导交办的其他各项任务。
5. 积极参加公司组织的各种培训，努力学习业务知识，提高业务技能。
6. 严格依照公司的各项规章制度、流程及操作指导执行。
7. 按要求进行垃圾分类及工作现场的清洁整理。
8. 及时报告任何异常项，为创造一个更安全的工作环境共同努力。
 

","1. 相关专业中专以上学历，具备基本的机械常识和英文。
2. 两年以上类似岗位工作经验，化工专业优先，最好懂橡胶及PU材料。
3. 工作认真负责, 具有团队合作精神。","化学类","高中","两年以上","英语","一般","3000","214028","25/7/2014 23:49:42.617"
"10900000-0000-0000-0000-000000031179","车工/磨工/铣工/冲压工/锣工","车工/磨工/铣工/冲压工/锣工","正式","高新区","1.能熟练操作数控车床
2.根据产品进行编程
3.能对数控车床进行日常保养","1.能看懂图纸
2.有数控经验2年以上。
3.能配合加班
","机械类","高中","两年以上","英语","一般","5000","214142","10/10/2016 09:50:26.27"
"10900000-0000-0000-0000-000000003932","模具线切割技术员","切割技工","正式","高新区","1. 严格按照安全要求及操作作业指导书和操作规范进行操作，确保工作安全、有序的开展；
2. 按照每日计划,配合组长工作，保质、保量按时完成生产任务，对工件按质准时交货负责；
3. 认真、正确填写自检品质报告及其他记录；
4. 正确合理使用设备，并按时进行维护保养；
5. 正确合理使用易耗品，合理有效使用工装及量具；
6. 根据工作需要，不断从专业知识、文化修养等多方面提高自已；
7. 遵守本公司的规章制度，维持工作环境的整洁。","1、中技或高中以上学历；
2、2年及以上相关工作经验；
","机械类","高中","两年以上","其他","一般","2800","214028","19/11/2014 12:56:02.987"
"10900000-0000-0000-0000-000000082957","电气装配","电工","正式","高新区","负责配线配柜以及设备调试。","能看懂电路图，能熟练运用电气各种工具。
有丰富的配线配柜以及现场布线经验。
机电一体化专业优先。","机械类","高中","两年以上","英语","一般","4000",,"21/4/2015 08:29:18.46"
"10900000-0000-0000-0000-000000007799","变值工","电工","正式","高新区","1.负责公司变电所设备运行，电气系统的维护，值班；
2.制定年/月电气维护计划，并跟踪计划落实情况；
3.降低内部缺陷成本；
4.支持TPM活动，支持现场改善。

","1.高中及以上学历，具备电工高压证；
2.5年以上高压设备维护保养工作经验；
3.身体健康，适应中、夜班。
","机械类","高中","五年以上","英语","一般","3500","214142","9/4/2018 09:57:58.427"
"10900000-0000-0000-0000-000000007799","仓库保管员","仓库管理员","正式","高新区","仓库保管、收发料。","1.高中以上学历，年龄40岁以下，身体健康；
2.有在机械厂里从事的仓库保管员工作经验；
3.有叉车证，会开叉车者优先。","交通运输类","高中","两年以上","英语","良好","2500","214142","5/5/2016 15:54:04.953"
"10900000-0000-0000-0000-000000027871","仓库保管员（实习生）","仓库管理员","实习","高新区","1、客户货物送到，根据送货单核对件数，料号，数量和外观并记录货物的包装数量； 
2、核对无误，签收并记录日期和时间。 
3、根据到货月份选择对应颜色的FIFO标签。 
4、根据货物包装打印FIFO标签（标签上应有料号，数量，到货日期等信息）。 
5、在对应的每箱货物上贴上FIFO标签后入库并记录库位。 
","肯吃苦，做事认真、细心。","交通运输类","高中","在读学生","英语","良好","2000","214028","18/7/2014 08:34:49.95"
"10900000-0000-0000-0000-000000087391","销售代表","销售代表","正式","南长区","负责与渠道直接的沟通维系，协助渠道进行产品销售","有一定销售经验，对销售有热情，抗压能力强，善于沟通","工商管理类","高中","两年以上","其他","一般","2300",,"13/8/2015 11:42:29.507"
"10900000-0000-0000-0000-000000085104","销售行政专员/助理","销售行政专员/助理","正式","徐州","徐州企福人力资源服务有限公司
现招聘业务人员15名（男女不限）
要求：
1、有一定的写作能力和销售基本功。
2、全日制高中以上学历。3、能吃苦耐劳，工作认真，语言表达能力强。
4、年龄35周岁以下。
5、工资待遇：基础工资+绩效工资+保险。
6、️工作地址:邳州市双创中心。
7、有意向者请将简历发送至xzqf333@163.com。
8、联系电话:15062057484","徐州企福人力资源服务有限公司
现招聘业务人员15名（男女不限）
要求：
1、有一定的写作能力和销售基本功。
2、全日制高中以上学历。3、能吃苦耐劳，工作认真，语言表达能力强。
4、年龄35周岁以下。
5、工资待遇：基础工资+绩效工资+保险。
6、️工作地址:邳州市双创中心。
7、有意向者请将简历发送至xzqf333@163.com。
8、联系电话:15062057484","工商管理类","高中","在读学生","其他","熟练","3000","221300","22/11/2017 08:35:43.21"
"10900000-0000-0000-0000-000000087305","工程设备租赁业务员","销售代表","正式","上海市","负责上海及周边地区的工程设备（升降机高空作业车）租赁业务洽谈，将公司设备外租给相应有需要的工程项目或单位。","有销售经验，有驾照，有自驾车，有同行工作经验更佳。","工商管理类","高中","两年以上","其他","一般","5000","214000","8/12/2016 13:25:26.927"
"10900000-0000-0000-0000-000000087932","销售代表","销售代表","正式","上海市","职位描述:
1、通过网络发帖、电子邮件、电话邀约等多种模式开发新客户。
2、负责做好老客户的跟踪与维护工作。
3、完成销售目标的同时，及时学习公司新政策，为客户提供高品质的一对一服务。
4、准时参加公司内各项专业培训、业务培训及会议，评估销售业绩，建设销售团队。
5、配合总监做好团队业绩，以及完成上级安排的其他事务性工作。
任职条件:
1、20-30岁，男女不限，学历不限，专业不限。
2、有一定的销售经验及良好的沟通能力、较强的语言表达能力。
3、有良好的职业道德和职业操守，富有良好的团队合作意识。
4、做事积极主动，自发、自愿、自觉的创造价值，有不达目标不罢休的精神。
5、积极、努力、勤奋，渴望挑战高薪，渴望成功，渴望提升生活品质。
6、有意在艺术品投资领域发展，能认清本行业的魅力和前景。
7、优秀应届毕业生有志加入销售的行业，至胜可提供完善的培训计划及个人发展空间。
其它福利:
薪资福利：底薪+提成+补贴+奖金+社保+国内外旅游+境外派遣+艺术品知识培训鉴赏
1.试用期2月，成绩优秀者可提前转正
2. 该岗位员工薪资8000以上 2-3个月10000以上
晋升空间大（每三个月晋级一次），资源数据好（公司通过媒体广告提供征集收藏客户名单无需自己东奔西跑找资源），提成高，提升锻炼快，工作环境好，销售效率高。
培训体系：入职后不仅提供岗前带薪培训外，针对学员不同阶段提供的管理技能的培训课程 周奖励，月奖励，季度奖励，年终奖 士气展示，野外拓展，军事训练，季度旅游等。
如果您有挑战万元高薪的决心、如果你对本行业有着浓厚的兴趣、如果你致力于在本行业发展。我们期待您的加盟。
如果您有挑战万元高薪的决心、如果你有不畏艰难的韧性、如果你对本行业有着浓厚的兴趣、如果你致力于在本行业发展。
面试电话：人事部李小姐：021-60172591     人事部杨小姐：021-60172272
","职位描述:
1、通过网络发帖、电子邮件、电话邀约等多种模式开发新客户。
2、负责做好老客户的跟踪与维护工作。
3、完成销售目标的同时，及时学习公司新政策，为客户提供高品质的一对一服务。
4、准时参加公司内各项专业培训、业务培训及会议，评估销售业绩，建设销售团队。
5、配合总监做好团队业绩，以及完成上级安排的其他事务性工作。
任职条件:
1、20-30岁，男女不限，学历不限，专业不限。
2、有一定的销售经验及良好的沟通能力、较强的语言表达能力。
3、有良好的职业道德和职业操守，富有良好的团队合作意识。
4、做事积极主动，自发、自愿、自觉的创造价值，有不达目标不罢休的精神。
5、积极、努力、勤奋，渴望挑战高薪，渴望成功，渴望提升生活品质。
6、有意在艺术品投资领域发展，能认清本行业的魅力和前景。
7、优秀应届毕业生有志加入销售的行业，至胜可提供完善的培训计划及个人发展空间。
其它福利:
薪资福利：底薪+提成+补贴+奖金+社保+国内外旅游+境外派遣+艺术品知识培训鉴赏
1.试用期2月，成绩优秀者可提前转正
2. 该岗位员工薪资8000以上 2-3个月10000以上
晋升空间大（每三个月晋级一次），资源数据好（公司通过媒体广告提供征集收藏客户名单无需自己东奔西跑找资源），提成高，提升锻炼快，工作环境好，销售效率高。
培训体系：入职后不仅提供岗前带薪培训外，针对学员不同阶段提供的管理技能的培训课程 周奖励，月奖励，季度奖励，年终奖 士气展示，野外拓展，军事训练，季度旅游等。
如果您有挑战万元高薪的决心、如果你对本行业有着浓厚的兴趣、如果你致力于在本行业发展。我们期待您的加盟。
如果您有挑战万元高薪的决心、如果你有不畏艰难的韧性、如果你对本行业有着浓厚的兴趣、如果你致力于在本行业发展。
面试电话：人事部李小姐：021-60172591     人事部杨小姐：021-60172272
","公共管理类","高中","应届毕业生","其他","良好","10000","200052","7/10/2015 10:55:45.493"
"10900000-0000-0000-0000-000000087112","销售代表","销售代表","正式","深圳市","1、负责搜集新客户的资料并进行沟通，开发新客户；
2、通过电话与客户进行有效沟通了解客户需求，寻找销售机会并完成销售业绩；
3、维护老客户，定期与客户进行沟通，建立良好的长期合作关系；
4、公司提供有利资源，充分发挥个人能力，推广公司产品及服务；","1、女，18-25岁，口齿清晰，普通话流利，语音富有感染力
2、对销售工作有较高的热情，具有一年以上业务经验或客服、电销、网销工作经验优先；
3、具备较强的学习能力和优秀的沟通能力，以及良好的应变和承压能力；
4、有敏锐的市场洞察力，有强烈的事业心、责任心和积极的工作态度；","电子信息类","高中","应届毕业生","其他","熟练","5000","518054","23/10/2014 16:26:55.397"
"10900000-0000-0000-0000-000000082282","特勤队员","保安人员","正式","滨湖区","具有良好的身体和个人素质，能吃苦。
应聘者请直接致电13003322299 贾队长","1、退伍军人（武警退伍或解放军侦察兵优先）；
2、思想过硬，作风正派，具有吃苦耐劳精神；
3、身体健康，体形端正，身高在170cm以上；
4、不得有纹身；
5、年龄25周岁以下；
应聘者请直接致电13003322299 贾队长","公安技术类","高中","应届毕业生","其他","一般","2800",,"6/6/2014 14:35:19.807"
"10900000-0000-0000-0000-000000034267","Quality Technician(质量技术员）","质量检验员/测试员","正式","滨湖区","职能概述： 
工作地点：无锡 
基本要求： 
1. 高中及以上学历。 
2. 2年以上机械行业质量检验工作经验； 
3. 具有良好的工作态度，良好的沟通能力；工作认真负责，爱岗敬业，积极主动；
4. 熟悉检验及稽核技巧，必须熟悉过程质量控制；
5. 熟悉相关检验量具的使用如卡尺，千分尺，百分表，高度尺等；
6.了解ISO9000 质量体系；
7. 会使用Word, Excel等办公软件；
8. 能阅读并理解机械零件和装配图纸；
9. 了解有关计量要求及流程，具有量具管理经验者优；
10. 有一定的英文基础；
工作内容:
1. 加强制程及入、出库检验工作，改善质量状况，显著降低 External PPM
2. 根据质量控制计划，对生产过程的质量进行监控；
3. 最终产品检验和出货检验；
4. 现场不合格品的隔离和标识；
5. 填写不合格报告，及时向质量工程师报告不合格；
6. 成品的随机资料准备与核对工作；标牌、唛头等的数据核对工作；
7. 配合质量工程师对质量问题进行分析和改进，并不断提高产品质量保证能力。
8.协助做好生产统计与人员考勤工作；
9.协助做好MRO 材料采购PR的及时填写工作；
10.主管安排的其它临时性工作
","职能概述： 
工作地点：无锡 
基本要求： 
1. 高中及以上学历。 
2. 2年以上机械行业质量检验工作经验； 
3. 具有良好的工作态度，良好的沟通能力；工作认真负责，爱岗敬业，积极主动；
4. 熟悉检验及稽核技巧，必须熟悉过程质量控制；
5. 熟悉相关检验量具的使用如卡尺，千分尺，百分表，高度尺等；
6.了解ISO9000 质量体系；
7. 会使用Word, Excel等办公软件；
8. 能阅读并理解机械零件和装配图纸；
9. 了解有关计量要求及流程，具有量具管理经验者优；
10. 有一定的英文基础；
工作内容:
1. 加强制程及入、出库检验工作，改善质量状况，显著降低 External PPM
2. 根据质量控制计划，对生产过程的质量进行监控；
3. 最终产品检验和出货检验；
4. 现场不合格品的隔离和标识；
5. 填写不合格报告，及时向质量工程师报告不合格；
6. 成品的随机资料准备与核对工作；标牌、唛头等的数据核对工作；
7. 配合质量工程师对质量问题进行分析和改进，并不断提高产品质量保证能力。
8.协助做好生产统计与人员考勤工作；
9.协助做好MRO 材料采购PR的及时填写工作；
10.主管安排的其它临时性工作
","机械类","高中","两年以上","英语","一般","2500",,"9/4/2015 09:03:26.557"
"10900000-0000-0000-0000-000000030112","技术员","技工","正式","滨湖区","1、车床流动加工、保养、研磨
2、车床及MC的程序作成、研磨等全盘作业的对应。","1、机械加工相关2年以上
2、可接受加班
3、日语能力4级以上优先","机械类","高中","两年以上","日语","一般","3000","214161","1/8/2017 15:12:50.833"
"10900000-0000-0000-0000-000000082754","冷作工","其他[工程/机械/能源类]","正式","滨湖区","1、看懂图纸，拼接钣金",,"机械类","高中","两年以上","其他","一般","4000","214142","18/3/2015 11:30:06.853"
"10900000-0000-0000-0000-000000023202","仓库管理员","仓库管理员","正式","无锡市","负责原辅材料的日常管理工作及其他","性别不限，40周岁以下，高中及以上学历，身体健康。有相关工作经验的优先考虑。","工商管理类","高中","应届毕业生","其他","一般","2200","214037","25/8/2015 14:05:47.18"
"10900000-0000-0000-0000-000000023202","技术研发工程师","技术研发工程师","正式","无锡市","负责新产品开发、研制工作，样品试制，跟踪指导新品的生产。","熟练运用各种制图软件。身体健康，有团队合作精神","机械类","高中","在读学生","英语","一般","3000","214037","2/11/2015 13:04:13.957"
"10900000-0000-0000-0000-000000023202","三坐标测量师","其他[质量/安全管理类]","正式","无锡市","负责品质部测量仪器的操作","能熟练操作三坐标。身体健康。具有团队合作精神","仪器仪表类","高中","一年以上","其他","一般","3000","214037","13/5/2015 08:06:02.057"
"10900000-0000-0000-0000-000000085485","注塑工艺员","其他[生产/营运类]","正式","无锡市","负责产品的工艺技术图纸，工艺流程的维护
负责日常注塑生产中的工艺调试，确保生产过程稳定
负责新模具的试模工作，并配合新模具验收
","男性，大专（高中起点）及以上学历，机械、机电一体化等相关专业优先，熟练使用CAD绘图软件。要懂工艺、会调机、具有班组管理经验，有注塑的相关背景，在正规企业工作经验者优先。","机械类","高中","应届毕业生","英语","一般","4500",,"21/11/2016 10:01:48.067"
"10900000-0000-0000-0000-000000086638","操作员","其他[生产/营运类]","正式","无锡市","具有独立操作冲压或辅助操作机械设备一年以上工作经验。","1，具有机械操作经验；
2， 动手能力强，适应倒班；
3，踏实仔细。

","机械类","高中","一年以上","其他","一般","1700","214028","11/5/2016 16:13:35.557"
"10900000-0000-0000-0000-000000023202","质量检验员/测试员","质量检验员/测试员","正式","无锡市","负责原辅材料、成品、半成品的检验","身体健康，具有团队合作精神。","材料类","高中","应届毕业生","英语","一般","3000","214037","25/2/2016 10:46:14.357"
"10900000-0000-0000-0000-000000026941","钳工/机修工/钣金工","钳工/机修工/钣金工","正式","锡山区","岗位职责 
1、负责设备的保养及维修； 
2、新建生产线或设施的安装； 
3、制作、安装机械构件、管路和设备改造； 
4、工厂各项其他维修事项。 

","任职资格 
1、技校、中专及以上学历，机械类相关专业优先考虑； 
2、具有二年以上机器设备维修的工作经验；能适应12小时倒班的工作时间制度 
3、良好的团队合作精神； 
4、能吃苦耐劳，服从分配。","机械类","高中","一年以上","英语","一般","3800",,"25/12/2014 09:05:59.55"
"10900000-0000-0000-0000-000000088278","装配工","其他[技工类]","正式","锡山区","工作内容
1、对法兰、盲板、阀门、电机、管道进行组装；
2、负责设备水压、气压；

","1、学历高中以上
2、30岁左右
3、有3年压力容器装配经验
4、能看懂图纸
5、工作时间：早上8：00~11:50；下午13:30~17：40；单休，公司提供免费午餐，国家法定节假日休息，交社保。","机械类","高中","三年以上","其他","熟练","3000","214700","15/8/2014 16:35:45.17"
"10900000-0000-0000-0000-000000082583","数码直印/菲林输出","数码直印/菲林输出","正式","惠山区","能熟练操作电脑","有服装面料分色描稿工作经验，工作认真、尽职。优秀毕业生可优先考虑","轻工纺织食品类","高中","应届毕业生","其他","一般","3500","214187","1/11/2016 00:15:57.687"
"10900000-0000-0000-0000-000000012765","Technical Intern 技术实习生","其他[工程/机械/能源类]","实习","高新区","1. work with the engineering team on routine hours updating and VSM for 0.5-1 year.
2. other tasks leader assigned.","1. Major in mechanical engineering/chemical engineering/IE.
2. English proficiency, male is preferred.","机械类","高中","在读学生","英语","良好","2000","214028","18/5/2016 10:13:54.297"
"10900000-0000-0000-0000-000000014372","制程检验员","质量检验员/测试员","正式","高新区","1、检查产品生产过程并确保过程操作满足作业指导书的需要；
2、保存好质量记录；
3、完成各工序过程操作的检查并确保该过程符合作业指导书的要求
4、根据ISO体系的要求来保存好质量记录
5、根据图纸与检验标准对最终成品进行检查，包括成品包装，标识，外观检验，压力；
6、负责不合格品的隔离及标识；
7、确保产品满足客户需要；
8、发现问题及时汇报领班；
9、领班安排的其他事宜。
","1、学历：高中或中技学历
2、工作经验：2年以上工作经验
3、熟悉质量体系，熟练使用各种量具，能看懂机械图纸。
","机械类","高中","一年以上","英语","一般","4000",,"1/4/2018 21:12:54.763"
"10900000-0000-0000-0000-000000003932","测量员","其他[IT-品管、技术支持及其它类]","正式","高新区","1.认真审阅图纸，学习各种测量规范；
2.做好产品测量，测量仪器的保护；
3.测量数据、资料的整理；","1、3年工作经验以上；

2、熟悉常用量具，能从事三座标测量；

3、测量室、量器具的管理；

4、新产品的全尺寸测量，测量方法及测量的准确性把握；","仪器仪表类","高中","三年以上","英语","一般","1750","214028","14/3/2017 12:42:50.873"
"10900000-0000-0000-0000-000000033457","生产经理/车间主任","生产经理/车间主任","正式","高新区","现场管理、现场设备日常维护、现场各种数据收集、TS16949及ISO14001的日常维护、领导分配的其它的工作（ 现场没有空调，冬冷夏热，夏天温度可能会高达40度以上）。
","1. 高中或以上学历，会日语者优先考虑；
2. 年龄40周岁以下男性，身体健康； 
3. 有责任心，为人诚实，吃苦耐劳（体力劳动比较多）；
4. 熟悉TS16949及ISO体系；
5. 能够尽快入职；
6. 家住硕放附近，能交通自理者。
","机械类","高中","三年以上","日语","一般","0","214142","23/3/2016 16:38:20.323"
"10900000-0000-0000-0000-000000011133","产线线长","生产主管/督导/领班","正式","高新区","Responsibilities：
-遵守有关的ESH法律法规和其它要求。
-遵守ESH文件，应急响应规定，杜绝事故事件发生接受EHS培训，对ESH体系有效运行提出合理的建议。
-有效控制本单元有关的重大环境因素，重大危险源。
-在生产中节约能源资源，坚持可持续发展。
-负责生产班组的全面运作，并不断对之进行改进，实现公司的工作目标。
-在生产线内培训新员工。
-在生产线内每天开生产线5分钟会议。
-按照《设备自主维护保养表》对所使用的设备进行开机前后的点检和正常的维护保养，按照设备及安全操作规程安全操作使用设备。
-按照工艺等作业指导书进行生产。
-按照控制计划对零件和产品进行质量检查，并将结果填写在相应的记录表单上。
-生产过程中一旦发现设备、工装和零件质量异常或失控，则立即停止生产，并向相关部门或自己的上司报告。
-按要求填写状态和可追溯性标识牌。
-在生产过程中始终保持现场尽可能的清洁和零件、产品、工位器具的整齐定置摆放。并做好各种生产
工具（模具、检具、钳具，扳手等）的清单管理，并定期检查核对。
-帮助他人，具有团队和协同工作精神。
-注意自身安全，向自己的上司报告存在的安全、环境污染隐患。
-完成公司及车间布置的临时工作任务，配合公司的岗位调动，加班、延班安排。
-按照作息时间上下班、用餐、休息。
-完成部门安排的其他事宜。
","Qualifications:
-高中及以上学历。
-3年以上大型企业生产经验，能适应倒班。
-在多岗位方面和多技能方面：在任命后2个月内至少在1条生产线达到4条边。
-良好的沟通能力和管理能力
-工作认真负责，有良好的工作态度和团队合作意识。
","机械类","高中","三年以上","英语","良好","4500","214112","17/12/2015 15:59:38.347"
"10900000-0000-0000-0000-000000000505","PCBA/SMT技术员","电子工程师/技术员","正式","高新区","1．跟线
2．维护、保养设备（印刷机、贴片机、回流焊、检测设备：SPI、AOI）
3．SMT缺陷不良分析，产线问题处理
4．协助工程师完成其他工作","1. 熟练掌握AOI编程及程式调试，VI-TECH和YESTECH、富士的NXT设备优先；
2. 熟悉SMT制程
3. 熟练运用office软件，英语可看懂报错语言；
4. 良好的团队合作","电子信息类","中技","两年以上","英语","良好","4500","214028","26/3/2014 11:03:57"
