"序列号","注册资本万","设立日期","企业类型","行业类别","经营范围","注册地址","企业状态","注册币种"
"45ca20c1c587909324ec","98330","2005-09-02","外商投资企业","机械零部件加工","采用比例、服务液压技术从事超高压阀、超高压活塞泵和马达、液压缸、传动和驱动部件、超高压软管和接头其他阀、齿轮泵、软管、接头及其附属件、装置、备件和零部件、路面铣平、采矿、建筑机械设备的驾驶舱及其零部件的研究、开发、生产、组装和测试；自由房屋租赁；提供喷涂加工；从事上述产品的批发、佣金代理（拍卖除外）和进出口业务（以上商品进出口不涉及国营贸易管理商品，涉及配额、许可证管理商品的，按国家有关规定办理申请）；提供非自产的上述产品的加工及维修服务；提供上述产品的研发技术服务、咨询服务；上述产品技术的进出口（国家限定企业经营或禁止进出口的商品和技术除外，不含其他国家禁止、限制类项目，涉及专项审批的凭有效许可证明经营。）（依法须经批准的项目，经相关部门批准后方可开展经营活动）","江苏省无锡国家高新技术开发区新荣路16号","在业","人民币"
"19875352da56373d26a1","98250","2015-04-17","外商投资企业","电力电子元器件制造","设计、研发、制造和组装电子元件和电子器件（不含限制类产品）；从事上述产品的批发、佣金代理（拍卖除外）、进出口业务（以上商品进出口不涉及国营贸易管理商品，涉及配额、许可证管理商品的，按国家有关规定办理申请）；提供上述产品的技术开发、维修和咨询服务。（依法须经批准的项目，经相关部门批准后方可开展经营活动）","无锡高新区综合保税区B区行创三路6号","在业","人民币"
"18bac3a0b7e358fe3612","9800","2014-12-11","公司","电力电子元器件制造","电子元器件、机械配件的制造、加工。（依法须经批准的项目、经相关部门批准后方可开展经营活动）","无锡市新区鸿山街道鸿山工业安置区","在业","人民币"
"d5b2bc8f444d16af8d46","98","2011-08-02","个体工商户","通用设备制造业","通用机械设备、交通机械设备制造；钢结构冷作加工及安装；金属机械加工；工程车辆及零部件销售；自营和代理各类商品和技术的进出口（国家限定公司经营或禁止进出口的商品和技术除外）；环保技术服务；湖泊河道保洁服务。（上述经营范围中涉及行政许可的，经许可后方可经营；涉及专项审批的，经批准后方可经营）","无锡市新吴区梅村新洲路229号","在业","人民币"
"27462a74e020efdf7b29","97332","2017-09-18","外商投资企业","合成材料制造",,"江苏省无锡市无锡国家高新技术产业开发区新梅路61号","在业","人民币"
"83e55ca0c7a7d5878e93","9616.588014","2002-10-11","企业法人","医药制造业","冻干粉针剂（冻干A C群脑膜炎球菌结合疫苗）、小容量注射剂（疫苗稀释液）、疫苗[双价肾综合征出血热纯化疫苗（vero细胞）]。","无锡国家高新技术产业开发区长江南路32号","在业","人民币"
"86fefcd58ce4c3e03bbf","945","2015-11-10","公司","环保、社会公共服务及其他专用设备制造","通用设备、专用设备、电气机械、软件的研发、安装和销售、技术服务、技术推广、技术咨询；合同能源管理服务；五金产品的销售（依法须经批准的项目，经相关部门批准后方可开展经营活动）","无锡市新吴区清源路20号传感网大学科技园立业楼E206号","在业","人民币"
"dfbfeb961654f9c6fff0","9441","2017-09-21","外商投资企业","研究和试验发展","中草药有机种植研究，中草药提取物研究开发，国际技术交流及技术转让","无锡新区鸿山街道飞凤路188号","在业","人民币"
"ca8cb18fdebc48d3efec","9417","2011-06-24","公司","电力电子元器件制造","电力电子元器件的研发；研究、开发太阳能电池；研究、开发及生产光伏组件及发电产品系统（不含限制项目的电池、联接机电机裂变器）；提供技术转让、技术咨询和技术服务；合同能源管理；承接新能源工程；电站后期维护保养；机电设备的安装；太阳能发电；从事上述产品的批发、进出口业务。（以上商品进出口不涉及国营贸易管理商品，涉及配额、许可证管理商品的，按国家有关规定办理申请。）（以上项目不含国家禁止、限制类，如需许可证凭有效许可证明经营）。","无锡市锡勤路8号","在业","人民币"
"864f87b7990f36b20257","933.98","2008-11-28","企业法人","工程和技术研究和试验发展","微电子产品、设备的设计、开发及销售及售后服务；技术开发、技术服务、技术转让；自营和代理各类商品及技术的进出口（国家限定公司经营或禁止进出口的商品和技术除外）。（上述经营范围中涉及行政许可的，经许可后方可经营；涉及专项审批的，经批准后方可经营）","无锡市新区震泽路18号无锡（国家）软件园鲸鱼座A幢1楼","在业","人民币"
"f9ea46ebf3a5c48cb4e2","9201","1992-12-05","外商投资企业","气体压缩机械制造","压缩机及通用设备、制冷设备、纺织机械、发电设备设计、研发、制造、销售；压缩机及通用设备生产技术服务；自营和代理各类商品及技术的进出口业务（国家限定公司经营或禁止进出口的商品和技术除外）。（依法须经批准的项目，经相关部门批准后方可开展经营活动）","无锡市锡协路东（无锡市新区鸿山机光电工业园内）","在业","人民币"
"c49c1bce0b3053b0a88c","92.4","2015-02-06","外商投资企业","专用设备制造业",,"无锡市新吴区新都路2号","在业","人民币"
"47244575d7343d9d9821","9168","2001-11-12","公司","泵、阀门、压缩机及类似机械制造","普通货运。仪表阀门及其自动控制装置的制造、销售及售后服务、技术开发、技术服务和技术转让；环保设备的制造、销售及售后服务，化工机械的加工。自营和代理各类商品和技术的进出口业务，但国家限定公司经营或禁止进出口的商品和技术除外。（上述经营范围中涉及行政许可的，经许可后方可经营，涉及国家专项审批的，经批准后方可经营）。","无锡市锡达路258","在业","人民币"
"d4da7a2ee48a1cb6b572","9120","1993-10-26","外商投资企业","化学药品制剂制造","开发生产冻干粉针剂、片剂、硬胶囊剂、进口药品分包装[冻干粉针剂、片剂、布地奈德鼻喷雾剂（激素类）、大容量注射剂、小容量注射剂、植入剂]。自营和代理各类商品及技术的进出口业务（国家限定企业经营或禁止进出口的商品和技术除外，不含分销及其他国家禁止、限制类项目）。","无锡市新区黄山路2号","在业","人民币"
"2aaa912e3f91b8e73b2c","909400000","1958-09-13",,,,"黑龙江省大庆市高新区新风路5号",,"人民币"
"0e71a6998b2de8b78e8c","900000000","2013-8-6","外商投资企业分支机构","信息技术咨询服务","一般经营项目：从事新产品及高新技术研究与开发，转让或许可研究开发成果，提供相应的技术服务；提供与西门子电气、电子和机械工业领域的产品（不包括消费类电子产品）的技术相关的咨询、市场调研、培训、工程及售后和维修服务；在总公司的经营范围内从事电气、电子和机械产品及零配件的批发、佣金代理（拍卖除外），进出口业务；进口并在国内销售总公司投资者和关联公司产品；为本公司投资企业和产提供售后维修服务；提供有偿咨询服务和技术支持","江苏省无锡市新区菱湖大道200号中国传感网国际创新园E2栋425室",,
"c6c95278d914c5a4bc41","9000","2008-09-04","公司","环境治理业","污水处理和污水资源化领域的技术研究与开发、设备销售、技术服务、托管运营；安全饮水、给水和纯水处理、固体废弃物处理、大气环境治理、水资源管理、生态工程、生态修复领域的技术研究与开发、设备销售、技术服务、托管运营；水务领域投资；环保工程专业承包。（上述经营范围涉及行政许可的，经许可后方可经营；涉及专项审批的，经批准后方可经营）。","无锡新区太湖国际科技园大学科技园530大厦A507号","在业","人民币"
"d591519102dcfbf3e867","900","2000-09-08","公司","机动车、电子产品和日用产品修理业","智能交通信息化软件的技术开发、技术咨询、技术服务、销售、安装；通信设备（不含卫星电视广播地面接收设施和发射装置）、专用设备的销售、安装、租赁（不含融资性租赁）；建筑智能化工程的施工（凭有效资质证书经营）；信息系统集成服务；培训服务（不含发证、不含国家统一认可的职业证书类培训）。（依法须经批准的项目，经相关部门批准后方可开展经营活动）。","无锡市新区清源路18号A401室（太湖国际科技园传感网大学科技园530大厦内）","在业","人民币"
"cf2b9668252f50000326","900","2015-06-08","公司","金属制品、机械和设备修理业","通用机械设备维护保养、改造；通用机械、专用设备的销售代理及安装；非标准零部件加工；通用机械、专用设备的研发、技术服务；培训服务（不含发证，不含国家统一认可的职业证书类培训）；自营和代理各类商品和技术的进出口业务（国家限定公司经营或禁止进出口的商品和技术除外）。（依法须经批准的项目，经相关部门批准后方可开展经营活动）","无锡市新区金城东路333-1-304","在业","人民币"
"88f9650488bab5486075","880","2009-05-11","个体工商户","工程和技术研究和试验发展","自动化仪表仪器侦测控制器生产制造、销售及技术服务；五金交电、普通机械及配件、电器机械及器材的销售；自动化电子控制产品、环保节能设备的研发、销售；计算机网络工程及系统集成服务；电子产品、监控设备安装及销售；自营和代理各类商品和技术的进出口（国家限定公司经营或禁止进出口的商品和技术除外）；技术服务；管道安装；机电安装工程。（上述经营范围中涉及行政许可的，经许可后方可经营；涉及专项审批的，经批准后方可经营）","无锡市新区长江路7号34号地块科技园一区402室","在业","人民币"
"cc56dd31b10d266ffd7f","88","2016-05-23","公司","纺织品、针织品及原料批发","纺织、服装及家庭用品、五金产品、文具用品、玩具、电子产品、食品的销售（含网上销售）；自营各类商品及技术的进出口（国家限定企业经营或禁止进出口的商品和技术除外）。（依法须经批准的项目，经相关部门批准后方可开展经营活动）","无锡市新吴区纺城大道299号深港都会广场9-1022","在业","人民币"
"db2c7f73b5a2b2c2b1da","8660.4","1995-03-28","个体工商户","日用化学产品制造","生产一类6831医用X射线附属设备及部件、生产二类6831医用X射线附属设备及部件。裁切、包装医用X光胶片及其他胶片，医用X光胶片及其他胶片冲洗套药的储存；生产机电元件和零部件；从事上述产品和化工专用设备零部件及污水处理材料、纸制包装材料、化学原料及制品(不含危险品)的批发、佣金代理（拍卖除外）、进出口业务（以上商品进出口不涉及国营贸易管理商品，涉及配额、许可证管理商品的，按国家有关规定办理申请）。（依法须经批准的项目，经相关部门批准后方可开展经营活动）","无锡国家高新技术产业开发区115号地块1车间","在业","人民币"
"32d0a7bbc2e07fec11be","8625.0259","2010-02-02","公司","工程和技术研究和试验发展","计算机软硬件的开发、销售；基础软件服务；应用软件服务；计算机系统服务；技术开发、技术咨询、技术转让、技术服务；计算机网络技术的开发；智能卡、电子产品、机械设备的销售；智能卡应用系统的维护；以服务外包方式从事软件开发；机电自动化设备维修、技术研发、技术服务；自动化产品的生产、销售；自营和代理各类商品和技术的进出口（国家限定公司经营或禁止进出口的商品和技术除外）；设计、制作、代理和发布国内广告业务。（依法须经批准的项目，经相关部门批准后方可开展经营活动）","无锡新吴区菱湖大道200号中国传感网国际创新园G8栋4楼","在业","人民币"
"c4d94ef8407068271a4a","85968","2007-04-20","公司","工程和技术研究和试验发展","科学工业园区的经营管理及配套服务；公用设施开发经营；自有房屋出租；物业管理；软件及电子信息产品的研究、开发及销售；对科技项目的孵化培育；以自有资金投资于国内外高科技术企业；教育培训（不含发证）；咨询服务。（依法须经批准的项目，经相关部门批准后方可开展经营活动）","无锡新区震泽路18号无锡软件园双子座B座20楼","在业","人民币"
"885c68ad7f6430686b02","8500","2012-11-21","外商投资企业","电子和电工机械专用设备制造","生产、研究开发、测试半导体分立器件、集成电路、光电子器件、照明器具，并提供产品咨询和技术服务；从事上述产品的批发；佣金代理（拍卖除外）；自营和代理各类商品及技术的进出口业务（以上商品进出口不涉及国营贸易管理商品，涉及配额、许可证管理商品的，按国家有关规定办理申请）；为关联公司（包括海外公司）提供会计记账、结算、财务规划以及人事管理等后勤管理服务。（依法须经批准的项目，经相关部门批准后方可开展经营活动）","江苏省无锡市新区锡勤路57号","在业","人民币"
"544f07b18980196b808f","840.811168","2001-07-20","外商投资企业","电子器件制造","半导体、光电子专用材料开发，集成电路加工及相关技术服务；从事上述产品、光电专用材料、太阳能光伏设备、化工原料（除危险化学品及易制毒化学品）、有色金属（贵金属、稀有金属除外）的批发、佣金代理（拍卖除外）、进出口业务。（以上商品进出口不涉及国营贸易管理商品，涉及配额、许可证管理商品的，按国家有关规定办理申请）。","无锡市新区珠江路22号","在业","人民币"
"a26ee0bb768448eb07c5","83883","2017-09-08","外商投资企业","光电子器件及其他电子器件制造","光纤元器件、光模块、隔离器、滤波器等","无锡高新区综合保税区Z3-1地块","在业","人民币"
"e3f08ff6896315b0c7fa","82192","1998-08-25","公司","有色金属压延加工","金属复合材料、金属制品、铝材、铝箔的制造、加工；金属材料的销售；自营和代理各类商品和技术的进出口业务，但国家限定企业经营或禁止进出口的商品及技术除外。（依法须经批准的项目，经相关部门批准后方可开展经营活动）","无锡市鸿山街道后宅","在业","人民币"
"85387f5e85ef10fb826a","820","2000-01-25","外商投资企业","软件和信息技术服务业","计算机数据处理；计算机软件硬件的生产、设计、安装；计算机系统集成；技术开发、技术转让；计算机、通讯设备的租赁；从事上述产品及上述产品零部件的批发、佣金代理（拍卖除外）、进出口业务。（以上商品进出口不涉及国营贸易管理商品，涉及配额、许可证管理商品的，按国家有关规定办理申请。）","无锡新区菱湖大道180-16","在业","美元"
"f35f69781dee532d9dee","816","2007-10-18","公司","工程和技术研究和试验发展","光伏产品、金属合金带、涂锡铜带、焊接材料、金属复合带、金属扁线、导电带的研发、销售；金属合金带、涂锡铜带、金属扁线、导电带的生产；自营各类商品和技术的进出口业务。（上述经营范围中涉及行政许可的，经许可后方可经营；涉及专项审批的，经批准后方可经营）","无锡市新区硕放孙安路16号","在业","人民币"
"cee24644eb0a23a232ef","81","2013-07-22","公司","机械设备、五金产品及电子产品批发","ddewdwedwe","无锡招商城M1-044号","在业","人民币"
"69f2276f4c37f28853dd","81","2014-03-28","公司","工程和技术研究和试验发展","工业自动控制系统装置的技术研发","无锡市新区旺庄路158-618","在业","人民币"
"c4a52849743d48e05b10","81","2015-09-17","公司","研究和试验发展","无人机的研发、销售；计算机软硬件的开发、销售；机械设备、电子产品、电气设备的设计；电子信息技术的应用和开发、设计；技术转让、技术咨询、技术服务；设计、制作、代理和发布各类广告业务；自营和代理各类商品及技术的进出口业务（国家限定公司经营或禁止进出口的商品和技术除外）。（依法须经批准的项目，经相关部门批准后方可开展经营活动）","无锡新区震泽路18号无锡软件园水瓶座511-512室","在业","人民币"
"269eb2c82a1f87f10a13","81","2017-03-30","个人独资","机械设备、五金产品及电子产品批发","五金产品，电子产品，仪器仪表，电气设备及配件，包装材料，橡塑制品，金属材料，通用设备及配件。","无锡市新吴区金城东路299号五洲国际工业博览城第一五金馆297-4162",,"人民币"
"3ca3f8e9fbd78a7f9305","80649.41","2004-03-23","外商投资企业","汽车制造业","研究、开发、生产、加工精密轴承、汽车减震器及其零部件，销售自产产品并提供售后服务。精密设备维修及售后服务；仓储服务（危险品除外）","江苏省无锡市长江南路19号","在业","人民币"
"2fe8e73b3e9784a4ba2c","80000","2011-04-20","公司","证券市场服务","（一）股票（包括人民币普通股、外资股）和债券（包括政府债券、公司债券）的承销与保荐；（二）中国证监会批准的其他业务。","无锡市新区高浪东路19号15层01-11单元","在业","人民币"
"559599853756ed2993e6","8000","1998-06-12","公司","医药制造业","药品的制造（凭许可证所列项目经营）。化工产品及原料（不含危险化学品）、橡胶制品、金属材料、通用机械、五金、建筑用材料的销售；百货的零售；药品的研发、技术转让、技术咨询、技术服务。（上述经营范围凡涉及专项审批的经批准后方可经营）","无锡市新区长江南路12号","在业","人民币"
"8eae4eb225fab5ea442c","8000","2001-06-04","公司","专用设备制造业","环境污染防治设备、电力设备、化工设备、钢结构的加工、制造、销售及技术服务；自营和代理各类商品和技术的进出口业务（国家限定企业经营或禁止进出口的商品和技术除外）；普通货运。（依法须经批准的项目，经相关部门批准后方可开展经营活动）。","无锡市江海东路1899号A 区23号","在业","人民币"
"aeb29b421ea115833228","8000","2005-09-06","公司","卫生材料及医药用品制造","包装装潢印刷品印刷；其他印刷品印刷。输液软包装技术开发；食品用塑料包装容器工具制品、药品包装用复合膜的制造、销售；自营各类商品和技术的进出口业务（国家限定企业经营或禁止进出口的商品和技术除外。（上述经营范围凡涉及专项审批的经批准后方可经营）","无锡市新区硕放中通路99号","在业","人民币"
"9d16807392c5a37568ef","8000","2000-12-27","公司","电动机制造","电机、电机配件、非标金属结构件的制造、加工、研发、技术转让;自营各类商品及技术的进出口业务（国家限定企业经营或禁止进出口的商品和技术除外）;普通货运。","无锡市新吴区城南路218",,"人民币"
"2fd3a605e8ac8669145e","8000","2015-05-18","公司","文化、体育和娱乐业","组织文化交流活动、文化创作服务；设计、制作、代理和发布各类广告；会议展览服务、电脑设计制作、电脑加工图文服务；企业形象策划、市场调研、礼仪服务；网页设计制作、软件开发、多媒体开发；影视片策划、电影的摄制、电影的制作、技术开发、技术转让、技术咨询、技术服务；市政工程施工、房地产开发、物业管理。（依法须经批准的项目，经相关部门批准后方可开展经营活动）","无锡市新区天安智慧城1-805","在业","人民币"
"c42a8805ba1012e2d629","8000","1993-01-09","公司","建筑安装业","普通货运。金属门窗、建筑幕墙工程的设计、加工、制作、安装；钢结构工程的制作和安装。（上述经营范围中涉及专项审批的待批准后方可经营）","无锡新吴区硕放长江东路229号（香楠路5号）","在业","人民币"
"82f8d90cfba1096178fa","8000","2003-02-28","公司","水泥制造","普通货运。水泥的生产、销售；机械设备、仪器仪表、电子设备及零部件的销售；自营各类商品和技术的进出口业务，但国家限定和禁止企业进出口的商品和技术除外（上述经营范围涉及行政许可的，经许可后方可经营；涉及专项审批的，经批准后方可经营）","无锡市新区硕放镇工业园E10-12号地块","在业","人民币"
"c65c19322b6a0133abbe","8000","2018-01-17","企业法人","研究和实验发展","物联网传感产品、智能化产品、电子产品的研究开发、技术转让、技术服务、生产及销售；利用自有资金对外投资；商务咨询服务；自有房屋租售。","无锡市新吴区菱湖大道111号无锡软件园天鹅座D幢1005室",,"人民币"
"84304f140704c519edfb","800","2005-12-06","公司","玻璃制品制造","玻璃加工、销售、安装；幕墙玻璃安装；自营和代理各类商品和技术的进出口（国家限定公司经营或禁止进出口的商品和技术除外）。","无锡市新区南站工业集中区B区C-05号","在业","人民币"
"4287539d403ec9d8c8a4","800","2008-03-25","公司","金属制品业","金属制品的设计、开发、生产与销售；垂直输送工作平台、汽车零配件加工；自营各类商品和技术的进出口业务，但国家限定企业经营或禁止进出口的商品及技术除外。（依法须经批准的项目，经相关部门批准后方可开展经营活动。","无锡市新区鸿山锡宅路8号","在业","人民币"
"2d886d9ddc92e1f5d033","800","2009-11-18","公司","工程和技术研究和试验发展","生物、化学、计算机领域内的技术服务、技术开发、技术咨询、技术转让；玻璃制品、光学元件、化学试剂（不含危险品）、机械零件、机械设备、实验室仪器及耗材、一类医疗器械的研发与销售；生物制品研发。（上述经营范围涉及行政许可的，经许可后方可经营；涉及专项审批的，经批准后方可经营）","无锡新区长江路21号信息产业园H幢3层","在业","人民币"
"f8d665bf431c7d417026","800","2010-10-20","公司","机械设备、五金产品及电子产品批发","集成电路、机械设备的设计、制造（限分支机构）、销售、技术咨询；自营和代理各类商品和技术的进出口（国家限定公司经营或禁止进出口的商品和技术除外）。（上述经营范围中涉及行政许可的，经许可后方可经营：涉及专项审批的，经批准后方可经营）","无锡新区长江路21号信息产业科技园D座308","在业","人民币"
"15682174282043ce5081","800","2014-08-19","公司","专业技术服务业","电气自动化设计；普通机械及配件、电气机械及器材、五金产品、金属材料、电子产品、通信设备（不含卫星电视广播地面接收设备和发射装置）、电子计算机及配件的销售；减速机的制造、销售、调试；自动控制阀门、自动化仪表及自动化设备的组装、销售、调试；互联网技术研发。（依法须经批准的项目，经相关部门批准后方可开展经营活动）","无锡新区太湖国际科技园菱湖大道200号中国传感网国际创新园E2栋417","在业","人民币"
"2cd6d8d8c301fa6a056d","800","2003-01-22","公司","其他制造业","标牌、标牌印刷技术的研发；标牌、工业电器自动化控制设备的销售；纸制品、非标准金属结构件的研发、销售、技术服务；塑料制品的研发、销售；自营和代理各类商品和技术的进出口（国家限定公司经营或禁止进出口的商品和技术除外）；标牌的加工。（依法须经批准的项目，经相关部门批准后方可开展经营活动）","无锡市新区硕放工业园五期C16号地块","在业","人民币"
"9418e4e7139a1f13e72c","800","2003-09-18","公司","塑料人造革、合成革制造","普通货运。泡塑包装、泡塑板的制造、销售；自营各类商品和技术的进出口（国家限定公司或禁止进出口的商品和技术除外）。","无锡市新区硕放工业园五期A30-2号地块","在业","人民币"
"15afeeb30b6dc34d7d68","800","2015-12-17","公司","研究和试验发展","光纤传感产品及光纤通信产品的研发、制造、销售；计算机、通信及传感网络、通信设备及零配件的销售；计算机、通信网络工程、安防监控工程的设计、系统集成及安装施工；自营和代理各类商品和技术的进出口业务（国家限定公司经营或禁止进出口的商品和技术除外）。（依法须经批准的项目，经相关部门批准后方可开展经营活动）","无锡中关村软件园1号楼203-62室","在业","人民币"
"f56450b3f28e4beb3347","800","2014-05-23","公司","工程和技术研究和试验发展","除垢设备、工业清洗设备的技术研发、销售；物联网产品的研发、销售；计算机软硬件的开发、销售；系统集成；通用设备、专用设备、通信设备（不含卫星电视广播地面接收设施和发射装置）、仪器仪表的研发、销售；通信工程、计算机网络工程、机电设备的安装；安防监控设备、电子系统设备的研发、销售、安装；技术服务、技术转让、培训服务（不含发证、不含国家统一认可的职业证书类培训）；自营各类商品和技术的进出口（国家限定公司经营或禁止进出口的商品和技术除外）。（依法须经批准的项目，经相关部门批准后方可开展经营活动）","无锡新区太湖国际科技园清源路20号传感网大学科技园立业楼E区411号","在业","人民币"
"f31605f0a7099d06479d","800","2011-07-14","公司","工程和技术研究和试验发展","激光切割机、激光打标机、激光焊接机及新型激光产品的研发、生产、销售；激光技术的开发；自营和代理各类商品及技术的进出口（国家限定公司经营或禁止进出口的商品和技术除外）；道路普通货物运输。（依法须经批准的项目，经相关部门批准后方可开展经营活动）","无锡市新区鸿山街道锡协路203号","在业","人民币"
"aa0bbf784c07004b468d","800","1999-09-06","公司","专用设备制造业","铸件制造，金属切削加工；自营各类商品和技术的进出口业务（国家限定企业经营或进出口的商品和技术除外）。","无锡市新区梅村新泰工业配套区","在业","人民币"
"608b37e2624e95f27de8","800","2001-07-12","公司","采矿、冶金、建筑专用设备制造","输配电设备、移动供电设备、机械设备（不含电梯医疗器械、压力容器）、金属制品塑料制品的加工制造销售。","无锡市新区硕放工业园","在业","人民币"
"031309bcd27ac9edffb3","800","2002-08-28","公司","汽车零部件及配件制造","摩托车配件及汽车配件、普通机械（除电梯、压力容器、医疗器械）、电话通信设备配件、模具的生产、加工、销售；自营货物进出口贸易（国家限定企业经营或禁止进出口的商品和技术除外）；普通机械及零配件、金属材料的销售。（依法须经批准的项目，经相关部门批准后方可开展经营活动）","无锡市新区梅村锡达路206号","在业","人民币"
"38657b26ca1b5585036a","800","2016-01-22","公司","专业技术服务业","计算机信息科技领域内技术开发、技术咨询；计算机软件开发；计算机网络工程；仪器仪表、电子产品、一类医疗器械的销售。（依法须经批准的项目，经相关部门批准后方可开展经营活动）","无锡中关村软件园24号楼202室","在业","人民币"
"0dc7312f1dd4f17655c1","800","2016-02-25","公司","研究和试验发展","工业自动化控制系统装置；输配电及控制设备、发电机组、通讯设备（不含卫星电视广播地面接收设施和发射装置）、轨道自动化设备、建筑节能系统设备的销售；安全防护系统集成；光伏设备及元器件的技术研发、销售及技术服务；软件的开发、销售、服务；物联网技术的研发。（依法须经批准的项目，经相关部门批准后方可开展经营活动）","无锡清源路18号太湖国际科技园传感网大学科技园530大厦A512号","在业","人民币"
"67c4276cbfc69a6888e8","800","2016-09-20","企业法人","研究和试验发展",,"无锡市新吴区鸿山街道建鸿路26",,"人民币"
"a9dd3c25a18060e2038c","800","2017-04-19","公司","研究和试验发展","智能仪器仪表、智能控制设备、机器人的设计、研发、制造、销售及技术服务；电子电器产品、工业自动化产品的研发、技术服务及销售；信息系统集成服务；数据应用技术的开发及服务；软件设计的开发及技术服务。","无锡新吴区无锡中关村软件园15号楼（B5）501室","在业","人民币"
"1475940c8903a35b8da0","80","2008-4-1","企业法人","职业技能培训","计算机信息培训，服务外包人才培训","无锡新区震泽路18号国家软件园巨蟹座",,
"c74caef0cc29fa7d84c7","80","2005-04-04","公司","专用设备制造业",,"无锡市新吴区硕放杨家湾一路1号","在业","人民币"
"4089586658bd6b462832","80","2016-10-12","外商投资企业","其他橡胶制品制造","制辊技术的研发及橡胶辊的生产、维修","无锡新吴区硕放工业集中区五期C24地块",,"人民币"
"fc112a396316ec179199","7980","2003-07-11","公司","绿化管理","普通货运。园林绿化设计、施工、养护；花卉苗木的栽培、销售；公园绿化管理；市政施工、公路工程、交通设施、房建、河道清淤、驳岸工程、土石方工程的施工、管理。（依法须经批准的项目，经相关部门批准后方可开展经营活动）。","无锡市新吴区金城东路333-19-101、102号","在业","人民币"
"cb613a30b288819d2994","7860","2008-04-02","公司","黑色金属冶炼和压延加工业","精密模具、五金冲压件、金属零配件、电子产品零配件的研发、生产、加工、销售；自营和代理各类商品和技术的进出口（但国家限定公司经营或禁止进出口的商品及技术除外）。（依法须经批准的项目，经相关部门批准后方可开展经营活动）","无锡市新区鸿山街道建鸿路32","在业","人民币"
"e473ee8a2e2d66122557","78000","2012-08-27","公司","半导体分立器件制造",,"无锡市新吴区长江东路18号","在业","人民币"
"fdd5a53ceb09b5a7f422","78000","2012-08-27","公司","印制电路板制造",,"无锡市新吴区长江东路18号","在业","人民币"
"130bbb01e5dfb9473c90","77459","2004-11-19","外商投资企业","汽车零配件零售",,"无锡市新区新加坡工业园锡坤路30、32号","在业","人民币"
"d7425b874b8e1c7de01b","7710","2005-12-23","公司","计算机、通信和其他电子设备制造业","电子元器件、集成电路及产品的研发、设计、生产、销售及相关技术服务；自营各类商品和技术的进出口。（依法须经批准的项目，经相关部门批准后方可开展经营活动）","无锡新区龙山路4号C幢1301-1304","在业","人民币"
