id,x,y,s,radar
100,可用面积,7,1,34
101,修建成本,6,1,34
102,人气指数,4,1,34
103,可用面积,1,1,35
104,修建成本,8,1,35
105,人气指数,6,1,35
106,可用面积,3,1,36
107,修建成本,8,1,36
108,人气指数,8,1,36
109,可用面积,2,1,37
110,修建成本,9,1,37
111,人气指数,9,1,37
112,可用面积,6,1,38
113,修建成本,3,1,38
114,人气指数,3,1,38
115,可用面积,7,1,39
116,修建成本,1,1,39
117,人气指数,1,1,39
118,可用面积,3,1,40
119,修建成本,6,1,40
120,人气指数,9,1,40
121,可用面积,2,1,41
122,修建成本,9,1,41
123,人气指数,9,1,41
124,可用面积,6,1,42
125,修建成本,4,1,42
126,人气指数,5,1,42
127,可用面积,2,1,43
128,修建成本,7,1,43
129,人气指数,9,1,43
130,可用面积,3,1,44
131,修建成本,5,1,44
132,人气指数,7,1,44
133,可用面积,3,1,45
134,修建成本,4,1,45
135,人气指数,7,1,45
136,可用面积,1,1,46
137,修建成本,9,1,46
138,人气指数,6,1,46
139,可用面积,4,1,47
140,修建成本,7,1,47
141,人气指数,4,1,47
142,可用面积,4,1,48
143,修建成本,7,1,48
144,人气指数,9,1,48
145,可用面积,5,1,49
146,修建成本,6,1,49
147,人气指数,2,1,49
148,可用面积,6,1,50
149,修建成本,3,1,50
150,人气指数,5,1,50
151,可用面积,4,1,51
152,修建成本,8,1,51
153,人气指数,7,1,51
154,可用面积,4,1,52
155,修建成本,7,1,52
156,人气指数,7,1,52
157,可用面积,4,1,53
158,修建成本,9,1,53
159,人气指数,7,1,53
160,可用面积,2,1,54
161,修建成本,7,1,54
162,人气指数,7,1,54
163,可用面积,8,1,55
164,修建成本,3,1,55
165,人气指数,3,1,55
166,可用面积,2,1,56
167,修建成本,6,1,56
168,人气指数,6,1,56
169,可用面积,4,1,57
170,修建成本,7,1,57
171,人气指数,4,1,57
172,可用面积,6,1,58
173,修建成本,6,1,58
174,人气指数,3,1,58
175,可用面积,3,1,59
176,修建成本,9,1,59
177,人气指数,6,1,59
178,可用面积,4,1,60
179,修建成本,5,1,60
180,人气指数,4,1,60
181,可用面积,6,1,61
182,修建成本,6,1,61
183,人气指数,4,1,61
184,可用面积,2,1,62
185,修建成本,5,1,62
186,人气指数,4,1,62
187,可用面积,9,1,63
188,修建成本,2,1,63
189,人气指数,2,1,63
190,可用面积,7,1,64
191,修建成本,4,1,64
192,人气指数,4,1,64
193,可用面积,3,1,65
194,修建成本,4,1,65
195,人气指数,7,1,65
196,可用面积,3,1,66
197,修建成本,8,1,66
198,人气指数,8,1,66
199,可用面积,4,1,67
200,修建成本,6,1,67
201,人气指数,7,1,67
202,可用面积,4,1,68
203,修建成本,6,1,68
204,人气指数,8,1,68
205,可用面积,1,1,69
206,修建成本,6,1,69
207,人气指数,8,1,69
208,可用面积,3,1,70
209,修建成本,5,1,70
210,人气指数,7,1,70
211,可用面积,1,1,71
212,修建成本,8,1,71
213,人气指数,8,1,71
214,可用面积,7,1,72
215,修建成本,6,1,72
216,人气指数,4,1,72
217,可用面积,1,1,73
218,修建成本,9,1,73
219,人气指数,9,1,73
220,可用面积,5,1,74
221,修建成本,5,1,74
222,人气指数,2,1,74
223,可用面积,1,1,75
224,修建成本,6,1,75
225,人气指数,7,1,75
226,可用面积,5,1,76
227,修建成本,4,1,76
228,人气指数,4,1,76
229,可用面积,5,1,77
230,修建成本,4,1,77
231,人气指数,4,1,77
232,可用面积,5,1,78
233,修建成本,4,1,78
234,人气指数,2,1,78
235,可用面积,4,1,79
236,修建成本,3,1,79
237,人气指数,4,1,79
238,可用面积,1,1,80
239,修建成本,6,1,80
240,人气指数,6,1,80
241,可用面积,6,1,81
242,修建成本,6,1,81
243,人气指数,2,1,81
244,可用面积,4,1,82
245,修建成本,6,1,82
246,人气指数,6,1,82
247,可用面积,3,1,83
248,修建成本,9,1,83
249,人气指数,9,1,83
250,可用面积,4,1,84
251,修建成本,6,1,84
252,人气指数,9,1,84
253,可用面积,4,1,85
254,修建成本,9,1,85
255,人气指数,8,1,85
256,可用面积,7,1,86
257,修建成本,6,1,86
258,人气指数,2,1,86
259,可用面积,4,1,87
260,修建成本,4,1,87
261,人气指数,2,1,87
262,可用面积,3,1,88
263,修建成本,6,1,88
264,人气指数,7,1,88
265,可用面积,6,1,89
266,修建成本,3,1,89
267,人气指数,3,1,89
268,可用面积,5,1,90
269,修建成本,4,1,90
270,人气指数,4,1,90
271,可用面积,9,1,91
272,修建成本,1,1,91
273,人气指数,1,1,91
274,可用面积,6,1,92
275,修建成本,3,1,92
276,人气指数,2,1,92
277,可用面积,3,1,93
278,修建成本,4,1,93
279,人气指数,6,1,93
280,可用面积,5,1,94
281,修建成本,4,1,94
282,人气指数,4,1,94
283,可用面积,5,1,95
284,修建成本,3,1,95
285,人气指数,4,1,95
286,可用面积,2,1,96
287,修建成本,4,1,96
288,人气指数,7,1,96
289,可用面积,2,1,97
290,修建成本,7,1,97
291,人气指数,9,1,97
292,可用面积,8,1,98
293,修建成本,2,1,98
294,人气指数,2,1,98
295,可用面积,3,1,99
296,修建成本,6,1,99
297,人气指数,7,1,99
298,可用面积,5,1,100
299,修建成本,7,1,100
300,人气指数,5,1,100
301,可用面积,6,1,101
302,修建成本,6,1,101
303,人气指数,4,1,101
304,可用面积,1,1,102
305,修建成本,8,1,102
306,人气指数,8,1,102
307,可用面积,7,1,103
308,修建成本,5,1,103
309,人气指数,2,1,103
310,可用面积,5,1,104
311,修建成本,4,1,104
312,人气指数,4,1,104
313,可用面积,1,1,105
314,修建成本,6,1,105
315,人气指数,6,1,105
316,可用面积,4,1,106
317,修建成本,3,1,106
318,人气指数,2,1,106
319,可用面积,6,1,107
320,修建成本,5,1,107
321,人气指数,5,1,107
322,可用面积,7,1,108
323,修建成本,6,1,108
324,人气指数,4,1,108
325,可用面积,2,1,109
326,修建成本,7,1,109
327,人气指数,7,1,109
328,可用面积,8,1,110
329,修建成本,3,1,110
330,人气指数,2,1,110
331,可用面积,2,1,111
332,修建成本,6,1,111
333,人气指数,7,1,111
334,可用面积,1,1,112
335,修建成本,7,1,112
336,人气指数,7,1,112
337,可用面积,6,1,113
338,修建成本,3,1,113
339,人气指数,3,1,113
340,可用面积,4,1,114
341,修建成本,9,1,114
342,人气指数,7,1,114
343,可用面积,4,1,115
344,修建成本,4,1,115
345,人气指数,5,1,115
346,可用面积,1,1,116
347,修建成本,7,1,116
348,人气指数,7,1,116
349,可用面积,6,1,117
350,修建成本,6,1,117
351,人气指数,3,1,117
352,可用面积,4,1,118
353,修建成本,3,1,118
354,人气指数,4,1,118
355,可用面积,6,1,119
356,修建成本,3,1,119
357,人气指数,4,1,119
358,可用面积,1,1,120
359,修建成本,8,1,120
360,人气指数,8,1,120
361,可用面积,1,1,121
362,修建成本,8,1,121
363,人气指数,7,1,121
364,可用面积,5,1,122
365,修建成本,3,1,122
366,人气指数,4,1,122
367,可用面积,3,1,123
368,修建成本,6,1,123
369,人气指数,9,1,123
370,可用面积,6,1,124
371,修建成本,3,1,124
372,人气指数,4,1,124
373,可用面积,7,1,125
374,修建成本,4,1,125
375,人气指数,3,1,125
376,可用面积,5,1,126
377,修建成本,3,1,126
378,人气指数,3,1,126
379,可用面积,2,1,127
380,修建成本,5,1,127
381,人气指数,7,1,127
382,可用面积,4,1,128
383,修建成本,7,1,128
384,人气指数,8,1,128
385,可用面积,5,1,129
386,修建成本,5,1,129
387,人气指数,4,1,129
388,可用面积,6,1,130
389,修建成本,5,1,130
390,人气指数,3,1,130
391,可用面积,1,1,131
392,修建成本,7,1,131
393,人气指数,6,1,131
394,可用面积,4,1,132
395,修建成本,5,1,132
396,人气指数,2,1,132
397,可用面积,5,1,133
398,修建成本,4,1,133
399,人气指数,3,1,133
400,可用面积,1,1,134
401,修建成本,9,1,134
402,人气指数,7,1,134
403,可用面积,2,1,135
404,修建成本,8,1,135
405,人气指数,9,1,135
406,可用面积,6,1,136
407,修建成本,5,1,136
408,人气指数,4,1,136
409,可用面积,1,1,137
410,修建成本,6,1,137
411,人气指数,7,1,137
412,可用面积,5,1,138
413,修建成本,5,1,138
414,人气指数,3,1,138
415,可用面积,3,1,139
416,修建成本,7,1,139
417,人气指数,9,1,139
418,可用面积,4,1,140
419,修建成本,6,1,140
420,人气指数,8,1,140
421,可用面积,7,1,141
422,修建成本,3,1,141
423,人气指数,3,1,141
424,可用面积,4,1,142
425,修建成本,6,1,142
426,人气指数,8,1,142
427,可用面积,3,1,143
428,修建成本,4,1,143
429,人气指数,4,1,143
430,可用面积,1,1,144
431,修建成本,7,1,144
432,人气指数,7,1,144
433,可用面积,6,1,145
434,修建成本,1,1,145
435,人气指数,1,1,145
436,可用面积,5,1,146
437,修建成本,5,1,146
438,人气指数,2,1,146
439,可用面积,1,1,147
440,修建成本,9,1,147
441,人气指数,9,1,147
442,可用面积,4,1,148
443,修建成本,8,1,148
444,人气指数,9,1,148
445,可用面积,4,1,149
446,修建成本,6,1,149
447,人气指数,9,1,149
448,可用面积,2,1,150
449,修建成本,5,1,150
450,人气指数,5,1,150
451,可用面积,4,1,151
452,修建成本,8,1,151
453,人气指数,7,1,151
454,可用面积,7,1,152
455,修建成本,6,1,152
456,人气指数,4,1,152
457,可用面积,1,1,153
458,修建成本,9,1,153
459,人气指数,6,1,153
460,可用面积,1,1,154
461,修建成本,7,1,154
462,人气指数,9,1,154
463,可用面积,1,1,155
464,修建成本,8,1,155
465,人气指数,7,1,155
466,可用面积,4,1,156
467,修建成本,8,1,156
468,人气指数,6,1,156
469,可用面积,7,1,157
470,修建成本,6,1,157
471,人气指数,3,1,157
472,可用面积,2,1,158
473,修建成本,9,1,158
474,人气指数,6,1,158
475,可用面积,3,1,159
476,修建成本,4,1,159
477,人气指数,5,1,159
478,可用面积,5,1,160
479,修建成本,5,1,160
480,人气指数,3,1,160
481,可用面积,2,1,161
482,修建成本,4,1,161
483,人气指数,6,1,161
484,可用面积,3,1,162
485,修建成本,9,1,162
486,人气指数,7,1,162
487,可用面积,7,1,163
488,修建成本,4,1,163
489,人气指数,4,1,163
490,可用面积,2,1,164
491,修建成本,5,1,164
492,人气指数,7,1,164
493,可用面积,5,1,165
494,修建成本,4,1,165
495,人气指数,5,1,165
496,可用面积,4,1,166
497,修建成本,8,1,166
498,人气指数,9,1,166
499,可用面积,4,1,167
500,修建成本,3,1,167
501,人气指数,3,1,167
502,可用面积,4,1,168
503,修建成本,7,1,168
504,人气指数,9,1,168
505,可用面积,4,1,169
506,修建成本,7,1,169
507,人气指数,5,1,169
508,可用面积,2,1,170
509,修建成本,9,1,170
510,人气指数,6,1,170
511,可用面积,5,1,171
512,修建成本,6,1,171
513,人气指数,2,1,171
514,可用面积,4,1,172
515,修建成本,6,1,172
516,人气指数,7,1,172
517,可用面积,5,1,173
518,修建成本,4,1,173
519,人气指数,2,1,173
520,可用面积,1,1,174
521,修建成本,9,1,174
522,人气指数,6,1,174
523,可用面积,3,1,175
524,修建成本,9,1,175
525,人气指数,9,1,175
526,可用面积,1,1,176
527,修建成本,6,1,176
528,人气指数,8,1,176
529,可用面积,5,1,177
530,修建成本,6,1,177
531,人气指数,3,1,177
532,可用面积,3,1,178
533,修建成本,6,1,178
534,人气指数,7,1,178
535,可用面积,1,1,179
536,修建成本,8,1,179
537,人气指数,9,1,179
538,可用面积,7,1,180
539,修建成本,4,1,180
540,人气指数,3,1,180
541,可用面积,3,1,181
542,修建成本,9,1,181
543,人气指数,8,1,181
544,可用面积,3,1,182
545,修建成本,7,1,182
546,人气指数,6,1,182
547,可用面积,5,1,183
548,修建成本,3,1,183
549,人气指数,4,1,183
550,可用面积,4,1,184
551,修建成本,3,1,184
552,人气指数,3,1,184
553,可用面积,3,1,185
554,修建成本,6,1,185
555,人气指数,9,1,185
556,可用面积,3,1,186
557,修建成本,9,1,186
558,人气指数,8,1,186
559,可用面积,1,1,187
560,修建成本,9,1,187
561,人气指数,9,1,187
562,可用面积,5,1,188
563,修建成本,6,1,188
564,人气指数,5,1,188
565,可用面积,2,1,189
566,修建成本,9,1,189
567,人气指数,6,1,189
568,可用面积,7,1,190
569,修建成本,3,1,190
570,人气指数,2,1,190
571,可用面积,1,1,191
572,修建成本,6,1,191
573,人气指数,8,1,191
574,可用面积,7,1,192
575,修建成本,6,1,192
576,人气指数,4,1,192
577,可用面积,9,1,193
578,修建成本,2,1,193
579,人气指数,2,1,193
580,可用面积,3,1,194
581,修建成本,7,1,194
582,人气指数,7,1,194
583,可用面积,6,1,195
584,修建成本,6,1,195
585,人气指数,2,1,195
586,可用面积,5,1,196
587,修建成本,5,1,196
588,人气指数,4,1,196
589,可用面积,5,1,197
590,修建成本,4,1,197
591,人气指数,4,1,197
592,可用面积,4,1,198
593,修建成本,4,1,198
594,人气指数,4,1,198
595,可用面积,4,1,199
596,修建成本,7,1,199
597,人气指数,5,1,199
598,可用面积,2,1,200
599,修建成本,7,1,200
600,人气指数,9,1,200
601,可用面积,2,1,201
602,修建成本,9,1,201
603,人气指数,7,1,201
604,可用面积,1,1,202
605,修建成本,7,1,202
606,人气指数,6,1,202
607,可用面积,2,1,203
608,修建成本,6,1,203
609,人气指数,9,1,203
610,可用面积,1,1,204
611,修建成本,7,1,204
612,人气指数,8,1,204
613,可用面积,5,1,205
614,修建成本,4,1,205
615,人气指数,2,1,205
616,可用面积,8,1,206
617,修建成本,4,1,206
618,人气指数,2,1,206
619,可用面积,6,1,207
620,修建成本,5,1,207
621,人气指数,3,1,207
622,可用面积,4,1,208
623,修建成本,7,1,208
624,人气指数,9,1,208
625,可用面积,6,1,209
626,修建成本,5,1,209
627,人气指数,4,1,209
628,可用面积,5,1,210
629,修建成本,5,1,210
630,人气指数,5,1,210
631,可用面积,7,1,211
632,修建成本,1,1,211
633,人气指数,2,1,211
634,可用面积,3,1,212
635,修建成本,9,1,212
636,人气指数,9,1,212
637,可用面积,9,1,213
638,修建成本,4,1,213
639,人气指数,2,1,213
640,可用面积,1,1,214
641,修建成本,8,1,214
642,人气指数,7,1,214
643,可用面积,2,1,215
644,修建成本,8,1,215
645,人气指数,7,1,215
646,可用面积,7,1,216
647,修建成本,4,1,216
648,人气指数,4,1,216
649,可用面积,2,1,217
650,修建成本,8,1,217
651,人气指数,8,1,217
652,可用面积,3,1,218
653,修建成本,7,1,218
654,人气指数,6,1,218
655,可用面积,3,1,219
656,修建成本,7,1,219
657,人气指数,9,1,219
658,可用面积,3,1,220
659,修建成本,6,1,220
660,人气指数,4,1,220
661,可用面积,3,1,221
662,修建成本,7,1,221
663,人气指数,8,1,221
664,可用面积,1,1,222
665,修建成本,8,1,222
666,人气指数,8,1,222
667,可用面积,9,1,223
668,修建成本,1,1,223
669,人气指数,3,1,223
670,可用面积,2,1,224
671,修建成本,4,1,224
672,人气指数,7,1,224
673,可用面积,6,1,225
674,修建成本,3,1,225
675,人气指数,2,1,225
676,可用面积,3,1,226
677,修建成本,5,1,226
678,人气指数,6,1,226
679,可用面积,6,1,227
680,修建成本,3,1,227
681,人气指数,3,1,227
682,可用面积,4,1,228
683,修建成本,5,1,228
684,人气指数,7,1,228
685,可用面积,2,1,229
686,修建成本,9,1,229
687,人气指数,9,1,229
688,可用面积,5,1,230
689,修建成本,6,1,230
690,人气指数,2,1,230
691,可用面积,6,1,231
692,修建成本,4,1,231
693,人气指数,4,1,231
694,可用面积,3,1,232
695,修建成本,6,1,232
696,人气指数,6,1,232
697,可用面积,2,1,233
698,修建成本,5,1,233
699,人气指数,5,1,233
700,可用面积,3,1,234
701,修建成本,6,1,234
702,人气指数,9,1,234
703,可用面积,2,1,235
704,修建成本,9,1,235
705,人气指数,6,1,235
706,可用面积,3,1,236
707,修建成本,8,1,236
708,人气指数,9,1,236
709,可用面积,4,1,237
710,修建成本,8,1,237
711,人气指数,6,1,237
712,可用面积,9,1,238
713,修建成本,2,1,238
714,人气指数,4,1,238
715,可用面积,7,1,239
716,修建成本,6,1,239
717,人气指数,2,1,239
718,可用面积,2,1,240
719,修建成本,6,1,240
720,人气指数,6,1,240
721,可用面积,1,1,241
722,修建成本,9,1,241
723,人气指数,9,1,241
724,可用面积,3,1,242
725,修建成本,8,1,242
726,人气指数,8,1,242
727,可用面积,3,1,243
728,修建成本,8,1,243
729,人气指数,6,1,243
730,可用面积,1,1,244
731,修建成本,8,1,244
732,人气指数,7,1,244
733,可用面积,2,1,245
734,修建成本,6,1,245
735,人气指数,8,1,245
736,可用面积,3,1,246
737,修建成本,5,1,246
738,人气指数,5,1,246
739,可用面积,1,1,247
740,修建成本,7,1,247
741,人气指数,6,1,247
742,可用面积,3,1,248
743,修建成本,7,1,248
744,人气指数,4,1,248
745,可用面积,6,1,249
746,修建成本,2,1,249
747,人气指数,4,1,249
748,可用面积,7,1,250
749,修建成本,1,1,250
750,人气指数,1,1,250
751,可用面积,7,1,251
752,修建成本,5,1,251
753,人气指数,3,1,251
754,可用面积,5,1,252
755,修建成本,5,1,252
756,人气指数,2,1,252
757,可用面积,4,1,253
758,修建成本,7,1,253
759,人气指数,6,1,253
760,可用面积,1,1,254
761,修建成本,8,1,254
762,人气指数,6,1,254
763,可用面积,2,1,255
764,修建成本,9,1,255
765,人气指数,6,1,255
766,可用面积,2,1,256
767,修建成本,6,1,256
768,人气指数,8,1,256
769,可用面积,5,1,257
770,修建成本,4,1,257
771,人气指数,2,1,257
772,可用面积,2,1,258
773,修建成本,9,1,258
774,人气指数,9,1,258
775,可用面积,2,1,259
776,修建成本,7,1,259
777,人气指数,6,1,259
778,可用面积,4,1,260
779,修建成本,3,1,260
780,人气指数,2,1,260
781,可用面积,2,1,261
782,修建成本,6,1,261
783,人气指数,6,1,261
784,可用面积,3,1,262
785,修建成本,6,1,262
786,人气指数,8,1,262
787,可用面积,5,1,263
788,修建成本,4,1,263
789,人气指数,3,1,263
790,可用面积,3,1,264
791,修建成本,7,1,264
792,人气指数,6,1,264
793,可用面积,2,1,265
794,修建成本,7,1,265
795,人气指数,9,1,265
796,可用面积,3,1,266
797,修建成本,6,1,266
798,人气指数,5,1,266
799,可用面积,4,1,267
800,修建成本,7,1,267
801,人气指数,7,1,267
802,可用面积,4,1,268
803,修建成本,3,1,268
804,人气指数,3,1,268
805,可用面积,5,1,269
806,修建成本,4,1,269
807,人气指数,4,1,269
808,可用面积,2,1,270
809,修建成本,8,1,270
810,人气指数,9,1,270
811,可用面积,2,1,271
812,修建成本,9,1,271
813,人气指数,7,1,271
814,可用面积,5,1,272
815,修建成本,4,1,272
816,人气指数,2,1,272
817,可用面积,3,1,273
818,修建成本,6,1,273
819,人气指数,7,1,273
820,可用面积,7,1,274
821,修建成本,5,1,274
822,人气指数,4,1,274
823,可用面积,1,1,275
824,修建成本,9,1,275
825,人气指数,8,1,275
826,可用面积,2,1,276
827,修建成本,6,1,276
828,人气指数,5,1,276
829,可用面积,2,1,277
830,修建成本,7,1,277
831,人气指数,8,1,277
832,可用面积,3,1,278
833,修建成本,9,1,278
834,人气指数,8,1,278
835,可用面积,4,1,279
836,修建成本,5,1,279
837,人气指数,2,1,279
838,可用面积,7,1,280
839,修建成本,3,1,280
840,人气指数,2,1,280
841,可用面积,7,1,281
842,修建成本,1,1,281
843,人气指数,3,1,281
844,可用面积,6,1,282
845,修建成本,5,1,282
846,人气指数,4,1,282
847,可用面积,3,1,283
848,修建成本,7,1,283
849,人气指数,9,1,283
850,可用面积,3,1,284
851,修建成本,4,1,284
852,人气指数,6,1,284
853,可用面积,6,1,285
854,修建成本,5,1,285
855,人气指数,4,1,285
856,可用面积,5,1,286
857,修建成本,3,1,286
858,人气指数,5,1,286
859,可用面积,3,1,287
860,修建成本,7,1,287
861,人气指数,6,1,287
862,可用面积,2,1,288
863,修建成本,8,1,288
864,人气指数,8,1,288
865,可用面积,9,1,289
866,修建成本,3,1,289
867,人气指数,2,1,289
868,可用面积,5,1,290
869,修建成本,6,1,290
870,人气指数,2,1,290
871,可用面积,4,1,291
872,修建成本,7,1,291
873,人气指数,4,1,291
874,可用面积,4,1,292
875,修建成本,9,1,292
876,人气指数,8,1,292
877,可用面积,4,1,293
878,修建成本,7,1,293
879,人气指数,8,1,293
880,可用面积,5,1,294
881,修建成本,3,1,294
882,人气指数,2,1,294
883,可用面积,6,1,295
884,修建成本,6,1,295
885,人气指数,2,1,295
886,可用面积,5,1,296
887,修建成本,3,1,296
888,人气指数,2,1,296
889,可用面积,4,1,297
890,修建成本,8,1,297
891,人气指数,9,1,297
892,可用面积,7,1,298
893,修建成本,3,1,298
894,人气指数,3,1,298
895,可用面积,6,1,299
896,修建成本,2,1,299
897,人气指数,1,1,299
898,可用面积,7,1,300
899,修建成本,6,1,300
900,人气指数,4,1,300
901,可用面积,4,1,301
902,修建成本,8,1,301
903,人气指数,7,1,301
904,可用面积,2,1,302
905,修建成本,8,1,302
906,人气指数,8,1,302
907,可用面积,5,1,303
908,修建成本,6,1,303
909,人气指数,4,1,303
910,可用面积,4,1,304
911,修建成本,7,1,304
912,人气指数,6,1,304
913,可用面积,6,1,305
914,修建成本,6,1,305
915,人气指数,2,1,305
916,可用面积,4,1,306
917,修建成本,7,1,306
918,人气指数,9,1,306
919,可用面积,9,1,307
920,修建成本,4,1,307
921,人气指数,2,1,307
922,可用面积,2,1,308
923,修建成本,4,1,308
924,人气指数,5,1,308
925,可用面积,5,1,309
926,修建成本,3,1,309
927,人气指数,2,1,309
928,可用面积,6,1,310
929,修建成本,3,1,310
930,人气指数,4,1,310
931,可用面积,7,1,311
932,修建成本,3,1,311
933,人气指数,3,1,311
934,可用面积,2,1,312
935,修建成本,8,1,312
936,人气指数,7,1,312
937,可用面积,2,1,313
938,修建成本,7,1,313
939,人气指数,6,1,313
940,可用面积,4,1,314
941,修建成本,6,1,314
942,人气指数,3,1,314
943,可用面积,3,1,315
944,修建成本,9,1,315
945,人气指数,9,1,315
946,可用面积,6,1,316
947,修建成本,4,1,316
948,人气指数,4,1,316
949,可用面积,2,1,317
950,修建成本,8,1,317
951,人气指数,8,1,317
952,可用面积,3,1,318
953,修建成本,9,1,318
954,人气指数,8,1,318
955,可用面积,1,1,319
956,修建成本,7,1,319
957,人气指数,8,1,319
958,可用面积,5,1,320
959,修建成本,6,1,320
960,人气指数,4,1,320
961,可用面积,4,1,321
962,修建成本,6,1,321
963,人气指数,8,1,321
964,可用面积,2,1,322
965,修建成本,6,1,322
966,人气指数,6,1,322
967,可用面积,3,1,323
968,修建成本,6,1,323
969,人气指数,8,1,323
970,可用面积,2,1,324
971,修建成本,6,1,324
972,人气指数,5,1,324
973,可用面积,6,1,325
974,修建成本,2,1,325
975,人气指数,3,1,325
976,可用面积,4,1,326
977,修建成本,8,1,326
978,人气指数,8,1,326
979,可用面积,7,1,327
980,修建成本,5,1,327
981,人气指数,3,1,327
982,可用面积,6,1,328
983,修建成本,4,1,328
984,人气指数,5,1,328
985,可用面积,2,1,329
986,修建成本,9,1,329
987,人气指数,9,1,329
988,可用面积,4,1,330
989,修建成本,4,1,330
990,人气指数,2,1,330
991,可用面积,2,1,331
992,修建成本,8,1,331
993,人气指数,8,1,331
994,可用面积,2,1,332
995,修建成本,6,1,332
996,人气指数,8,1,332
997,可用面积,5,1,333
998,修建成本,3,1,333
999,人气指数,4,1,333
1000,可用面积,6,1,334
1001,修建成本,6,1,334
1002,人气指数,3,1,334
1003,可用面积,7,1,335
1004,修建成本,4,1,335
1005,人气指数,2,1,335
1006,可用面积,8,1,336
1007,修建成本,1,1,336
1008,人气指数,4,1,336
1009,可用面积,2,1,337
1010,修建成本,8,1,337
1011,人气指数,6,1,337
1012,可用面积,3,1,338
1013,修建成本,9,1,338
1014,人气指数,6,1,338
1015,可用面积,4,1,339
1016,修建成本,9,1,339
1017,人气指数,7,1,339
1018,可用面积,2,1,340
1019,修建成本,8,1,340
1020,人气指数,8,1,340
1021,可用面积,7,1,341
1022,修建成本,3,1,341
1023,人气指数,2,1,341
1024,可用面积,3,1,342
1025,修建成本,5,1,342
1026,人气指数,5,1,342
1027,可用面积,7,1,343
1028,修建成本,4,1,343
1029,人气指数,2,1,343
